I001,S001,2
I001,S024,2
I001,S002,2
I002,S003,1
I003,S004,1
I004,S002,2
I005,S005,4
I005,S006,2
I005,S026,5
I005,S008,2
I005,S027,5
I006,S007,5
I007,S028,4
I008,S006,2
I008,S026,5
I008,S008,2
I008,S027,5
I009,S010,3
I010,S011,5
I010,S029,5
I010,S030,5
I010,S031,4
I011,S032,5
I012,S012,2
I013,S013,5
I015,S014,2
I016,S003,1
I017,S014,2
I019,S025,1
I021,S001,2
I021,S004,1
I022,S001,2
I022,S004,1
I023,S004,1
I024,S016,5
I025,S017,3
I026,S018,4
I027,S019,5
I030,S020,2
I032,S021,5
I033,S022,2
I034,S023,5
I035,S033,5
I036,S034,4
I037,S035,2
I037,S036,1
I038,S037,5
I038,S038,2
I031,S039,4
I031,S040,5
I031,S041,4
